[2023-12-28 13:24:29,699] INFO:frontend-service:26:entering save_down function
[2023-12-28 13:24:30,168] INFO:frontend-service:29:entering websocket connection loop
[2023-12-28 13:24:30,170] INFO:frontend-service:34:websocket connected successfully
[2023-12-28 13:24:30,230] INFO:frontend-service:47:websocket authenticated successfully
[2023-12-28 13:24:30,232] INFO:frontend-service:51:websocket streaming
[2023-12-28 13:26:20,245] INFO:frontend-service:95:creating connection engine
[2023-12-28 13:26:20,362] INFO:frontend-service:99:creating model tables
[2023-12-28 13:26:21,331] INFO:frontend-service:26:entering save_down function
[2023-12-28 13:26:21,687] INFO:frontend-service:29:entering websocket connection loop
[2023-12-28 13:26:21,689] INFO:frontend-service:34:websocket connected successfully
[2023-12-28 13:26:21,731] INFO:frontend-service:47:websocket authenticated successfully
[2023-12-28 13:26:21,732] INFO:frontend-service:51:websocket streaming
[2023-12-28 13:26:36,743] INFO:frontend-service:95:creating connection engine
[2023-12-28 13:26:36,826] INFO:frontend-service:99:creating model tables
[2023-12-28 13:26:37,108] INFO:frontend-service:26:entering save_down function
[2023-12-28 13:26:37,342] INFO:frontend-service:29:entering websocket connection loop
[2023-12-28 13:26:37,343] INFO:frontend-service:34:websocket connected successfully
[2023-12-28 13:26:37,383] INFO:frontend-service:47:websocket authenticated successfully
[2023-12-28 13:26:37,384] INFO:frontend-service:51:websocket streaming
[2023-12-28 13:26:37,849] INFO:frontend-service:103:defining and returning session object
[2023-12-28 13:26:37,850] INFO:frontend-service:30:feature-service session created
[2023-12-28 13:26:37,850] INFO:frontend-service:32:getting latest database datetime record
[2023-12-28 13:26:37,941] INFO:frontend-service:36:initial hour datetime ID: 2023-12-28 18:00:00
[2023-12-28 13:26:43,868] INFO:frontend-service:112:creating connection engine
[2023-12-28 13:26:43,930] INFO:frontend-service:116:creating model tables
[2023-12-28 13:26:44,831] INFO:frontend-service:120:defining and returning session object
[2023-12-28 13:26:44,841] INFO:frontend-service:20:prediction-service session created
[2023-12-28 13:26:44,876] INFO:frontend-service:95:creating connection engine
[2023-12-28 13:26:44,890] INFO:frontend-service:99:creating model tables
[2023-12-28 13:26:45,898] INFO:frontend-service:103:defining and returning session object
[2023-12-28 13:26:45,899] INFO:frontend-service:26:feature-service session created
[2023-12-28 13:26:45,899] INFO:frontend-service:127:creating connection engine
[2023-12-28 13:26:45,900] INFO:frontend-service:131:defining and returning session object
[2023-12-28 13:26:45,901] INFO:frontend-service:32:mlflow session created
[2023-12-28 13:26:56,020] INFO:frontend-service:40:initial hour dataframe update and saved: 2023-12-28 18:00:00
[2023-12-28 13:26:56,021] INFO:frontend-service:55:no data update
[2023-12-28 13:26:56,022] INFO:frontend-service:56:query loop complete
[2023-12-28 13:26:59,870] INFO:frontend-service:112:creating connection engine
[2023-12-28 13:26:59,923] INFO:frontend-service:116:creating model tables
[2023-12-28 13:27:00,814] INFO:frontend-service:120:defining and returning session object
[2023-12-28 13:27:00,815] INFO:frontend-service:20:prediction-service session created
[2023-12-28 13:27:00,838] INFO:frontend-service:95:creating connection engine
[2023-12-28 13:27:00,839] INFO:frontend-service:99:creating model tables
[2023-12-28 13:27:01,843] INFO:frontend-service:103:defining and returning session object
[2023-12-28 13:27:01,844] INFO:frontend-service:26:feature-service session created
[2023-12-28 13:27:01,845] INFO:frontend-service:127:creating connection engine
[2023-12-28 13:27:01,845] INFO:frontend-service:131:defining and returning session object
[2023-12-28 13:27:01,846] INFO:frontend-service:32:mlflow session created
[2023-12-28 13:27:56,023] INFO:frontend-service:55:no data update
[2023-12-28 13:27:56,023] INFO:frontend-service:56:query loop complete
[2023-12-28 13:28:56,024] INFO:frontend-service:55:no data update
[2023-12-28 13:28:56,024] INFO:frontend-service:56:query loop complete
[2023-12-28 13:29:56,026] INFO:frontend-service:55:no data update
[2023-12-28 13:29:56,029] INFO:frontend-service:56:query loop complete
[2023-12-28 13:30:56,032] INFO:frontend-service:55:no data update
[2023-12-28 13:30:56,032] INFO:frontend-service:56:query loop complete
[2023-12-28 13:31:56,034] INFO:frontend-service:55:no data update
[2023-12-28 13:31:56,036] INFO:frontend-service:56:query loop complete
[2023-12-28 13:32:56,038] INFO:frontend-service:55:no data update
[2023-12-28 13:32:56,039] INFO:frontend-service:56:query loop complete
[2023-12-28 13:33:56,041] INFO:frontend-service:55:no data update
[2023-12-28 13:33:56,042] INFO:frontend-service:56:query loop complete
[2023-12-28 13:34:56,043] INFO:frontend-service:55:no data update
[2023-12-28 13:34:56,043] INFO:frontend-service:56:query loop complete
[2023-12-28 13:35:56,048] INFO:frontend-service:55:no data update
[2023-12-28 13:35:56,049] INFO:frontend-service:56:query loop complete
[2023-12-28 13:36:56,050] INFO:frontend-service:55:no data update
[2023-12-28 13:36:56,051] INFO:frontend-service:56:query loop complete
[2023-12-28 13:37:43,251] INFO:frontend-service:112:creating connection engine
[2023-12-28 13:37:43,297] INFO:frontend-service:116:creating model tables
[2023-12-28 13:37:44,524] INFO:frontend-service:120:defining and returning session object
[2023-12-28 13:37:44,525] INFO:frontend-service:20:prediction-service session created
[2023-12-28 13:37:44,554] INFO:frontend-service:95:creating connection engine
[2023-12-28 13:37:44,554] INFO:frontend-service:99:creating model tables
[2023-12-28 13:37:45,571] INFO:frontend-service:103:defining and returning session object
[2023-12-28 13:37:45,571] INFO:frontend-service:26:feature-service session created
[2023-12-28 13:37:45,571] INFO:frontend-service:127:creating connection engine
[2023-12-28 13:37:45,571] INFO:frontend-service:131:defining and returning session object
[2023-12-28 13:37:45,571] INFO:frontend-service:32:mlflow session created
[2023-12-28 13:37:56,052] INFO:frontend-service:55:no data update
